step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.42658761392843,0,0.0,0.9604425059923359,0,0.0
10.0,0,0.0,0.0,13.148213552695516,0,0.0,0.9505456513931958,0,0.0
15.0,1,1.0,0.07142857142857142,11.980691914304682,1,1.0,0.8473865683242607,1,1.0
20.0,0,0.0,0.0,10.061876577713416,0,0.0,0.7497395535920899,0,0.0
25.0,1,5.0,0.25,11.25020360426721,1,5.0,0.7657671507383175,1,5.0
30.0,4,16.0,0.7272727272727273,9.96452309337227,4,16.0,0.5952337271945882,4,16.0
35.0,4,8.0,0.36363636363636365,7.17707869537949,4,19.0,0.4136226697569653,4,19.0
40.0,3,17.0,0.8095238095238095,8.776806434953453,3,18.0,0.5573925406404313,3,18.0
45.0,7,41.0,1.7826086956521738,9.023540689121683,7,41.0,0.5041951703816915,7,41.0
50.0,8,78.0,3.25,8.485233101759434,8,78.0,0.5035540620597931,8,78.0
55.0,6,46.0,2.3,6.112496699568718,6,77.0,0.37618206930118187,6,77.0
60.0,2,10.0,0.47619047619047616,7.419891331009992,2,35.0,0.4055403043180567,2,35.0
65.0,4,25.0,1.0869565217391304,10.150888237488818,4,25.0,0.574129917471113,4,25.0
70.0,2,3.0,0.13636363636363635,8.494114486643698,2,16.0,0.4870917910325369,2,16.0
75.0,2,10.0,0.45454545454545453,10.075694347255277,2,10.0,0.6623965413485732,2,10.0
80.0,4,25.0,1.25,8.392222828860223,4,25.0,0.457679333453464,4,25.0
85.0,8,55.0,2.8947368421052633,5.76147010124635,8,55.0,0.27126595982170304,8,55.0
90.0,12,106.0,5.578947368421052,5.0036099309612,12,106.0,0.3250096973397862,12,106.0
95.0,13,167.0,7.260869565217392,4.479940173386348,13,167.0,0.3010475273304606,13,167.0
100.0,17,242.0,9.68,3.8256581195198707,17,242.0,0.25049849979757804,17,242.0
105.0,16,210.0,6.5625,4.479940530745557,16,263.0,0.2863344910221718,16,263.0
110.0,10,75.0,2.0833333333333335,5.407820340552501,10,229.0,0.307308198934777,10,229.0
115.0,6,34.0,0.85,6.63301820856081,6,159.0,0.3196743313156119,6,159.0
120.0,5,12.0,0.27906976744186046,5.343320928488931,5,164.0,0.27541778125401867,5,164.0
125.0,8,27.0,0.675,5.037533530247325,8,171.0,0.2585095733683975,8,171.0
130.0,15,88.0,2.1463414634146343,4.842228357173338,15,228.0,0.16601101833847823,15,228.0
135.0,20,176.0,4.2926829268292686,3.5280989361704096,20,316.0,0.1324924921261144,20,316.0
140.0,27,297.0,7.071428571428571,2.378449673561718,27,437.0,0.08830626659306222,27,437.0
145.0,33,449.0,10.951219512195122,0.9933122116788664,33,590.0,0.02703183150768033,33,590.0
150.0,38,633.0,15.825,0.6573471198380888,38,774.0,0.00019406585038005762,38,774.0
155.0,38,823.0,20.575,0.6562922885830438,38,964.0,3.3015702628913414e-06,38,964.0
160.0,34,852.0,22.42105263157895,0.2945533252975166,34,1035.0,0.006775886862416025,34,1035.0
165.0,24,626.0,16.473684210526315,2.4570206892514057,24,975.0,0.05842329119065606,24,975.0
170.0,15,415.0,10.921052631578947,4.957237185850613,15,886.0,0.15295398357788761,15,886.0
175.0,8,209.0,5.648648648648648,5.369211112791604,8,850.0,0.24761017291207527,8,850.0
180.0,6,21.0,0.6176470588235294,4.933322436227385,6,879.0,0.2828372450828085,6,879.0
185.0,12,67.0,1.9705882352941178,3.6054819913528955,12,925.0,0.24351103414244094,12,925.0
190.0,19,149.0,3.5476190476190474,3.423821015330724,19,1007.0,0.1863435684751382,19,1007.0
195.0,25,262.0,5.954545454545454,2.7576768021003164,25,1120.0,0.1390975003574875,25,1120.0
200.0,32,409.0,8.891304347826088,2.285501294184586,32,1267.0,0.05220739284095662,32,1267.0
205.0,34,470.0,10.217391304347826,2.3828699913057134,34,1307.0,0.08683511672705695,34,1307.0
