step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.64747619081676,0,0.0,0.9559566155927572,0,0.0
10.0,0,0.0,0.0,13.331663545423837,0,0.0,0.956672485074807,0,0.0
15.0,0,0.0,0.0,11.047565613345123,0,0.0,0.7584370822648614,0,0.0
20.0,3,10.0,0.7692307692307693,9.052330951010681,3,10.0,0.5996437738372075,3,10.0
25.0,6,31.0,1.8235294117647058,7.471737638689285,6,31.0,0.469336521360338,6,31.0
30.0,9,66.0,3.142857142857143,6.369203593897584,9,66.0,0.36712121976888723,9,66.0
35.0,13,121.0,5.260869565217392,4.039420463184073,13,121.0,0.24194716984407444,13,121.0
40.0,17,194.0,8.083333333333334,2.431094864275076,17,194.0,0.10272511041836202,17,194.0
45.0,18,233.0,9.32,2.4330955387335287,18,233.0,0.10172269208530446,18,233.0
50.0,9,96.0,3.4285714285714284,4.78066726260706,9,226.0,0.2184126983425343,9,226.0
55.0,4,20.0,0.6666666666666666,7.41237763829833,4,158.0,0.3496439878749292,4,158.0
60.0,1,1.0,0.034482758620689655,8.642411977198444,1,101.0,0.4417602205243621,1,101.0
65.0,1,6.0,0.21428571428571427,10.477827382117137,1,30.0,0.6890155728085468,1,30.0
70.0,2,14.0,0.5,11.030061413940913,2,14.0,0.7923575032923502,2,14.0
75.0,2,24.0,0.8888888888888888,10.64083777341094,2,24.0,0.7365198124785303,2,24.0
80.0,4,40.0,1.6666666666666667,9.241768144107988,4,40.0,0.5035154416998168,4,40.0
85.0,8,69.0,3.45,7.76102465320678,8,69.0,0.3153862882475573,8,69.0
90.0,4,29.0,1.5263157894736843,7.3252550778987,4,53.0,0.3865075904407453,4,53.0
95.0,1,2.0,0.11764705882352941,9.266038583929783,1,16.0,0.6202079374881838,1,16.0
100.0,3,12.0,0.5454545454545454,10.55425931402839,3,12.0,0.6659907927074227,3,12.0
105.0,4,31.0,1.2916666666666667,8.422086121761625,4,31.0,0.5279776598356568,4,31.0
