step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.226013283098013,0,0.0,0.9314900916027188,0,0.0
10.0,0,0.0,0.0,12.027860229131619,0,0.0,0.9116897529248379,0,0.0
15.0,1,2.0,0.18181818181818182,9.918120393352641,1,2.0,0.7324712539220816,1,2.0
20.0,4,17.0,1.1333333333333333,7.031891645618958,4,17.0,0.45316676852112,4,17.0
25.0,8,48.0,2.6666666666666665,6.484756433030343,8,48.0,0.42092745073641785,8,48.0
30.0,10,93.0,5.8125,3.834312345059387,10,93.0,0.1811916381176196,10,93.0
35.0,13,150.0,8.333333333333334,2.885655111504973,13,150.0,0.1238873337586738,13,150.0
40.0,14,219.0,10.95,3.298930965824625,14,219.0,0.21699671543401888,14,219.0
45.0,14,235.0,10.681818181818182,2.9160629249949044,14,235.0,0.21518967037417497,14,235.0
50.0,7,56.0,2.1538461538461537,5.162715617959318,7,229.0,0.32244160118397774,7,229.0
55.0,1,3.0,0.1,7.393821883114602,1,104.0,0.384995172155695,1,104.0
60.0,1,4.0,0.13333333333333333,9.079595629282482,1,45.0,0.5258428467851487,1,45.0
65.0,2,10.0,0.3448275862068966,9.816111714179165,2,14.0,0.6094241039452795,2,14.0
70.0,3,24.0,0.8571428571428571,10.025658867467191,3,24.0,0.6543083363679142,3,24.0
75.0,3,39.0,1.3928571428571428,10.046142889650866,3,39.0,0.6520593465067522,3,39.0
80.0,3,54.0,2.347826086956522,9.362699490394816,3,54.0,0.5327824603630187,3,54.0
85.0,5,76.0,3.3043478260869565,9.811994748698886,5,76.0,0.5193067829144904,5,76.0
90.0,1,7.0,0.35,9.89998247007437,1,39.0,0.6332286248875895,1,39.0
95.0,0,0.0,0.0,9.330163253226756,0,0.0,0.5602691768172418,0,0.0
100.0,3,11.0,0.55,10.440834896549024,3,11.0,0.6043380557386566,3,11.0
105.0,5,33.0,1.65,8.77472398636457,5,33.0,0.4835524255578726,5,33.0
