step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.447536715027148,0,0.0,0.9707881312812809,0,0.0
10.0,0,0.0,0.0,12.751302449227246,0,0.0,0.9560694149465543,0,0.0
15.0,0,0.0,0.0,10.820645355810036,0,0.0,0.7863135809839029,0,0.0
20.0,4,12.0,0.8,8.142255924396528,4,12.0,0.5265938584270661,4,12.0
25.0,7,40.0,2.2222222222222223,7.124959126374441,7,40.0,0.3844426501477582,7,40.0
30.0,9,81.0,4.2631578947368425,6.943371538655856,9,81.0,0.35888323947451806,9,81.0
35.0,10,128.0,7.111111111111111,5.295346834981299,10,128.0,0.25993714172992766,10,128.0
40.0,11,182.0,8.666666666666666,5.739410154669794,11,182.0,0.2675311793393132,11,182.0
45.0,11,183.0,9.15,4.09890400209677,11,183.0,0.22513443376617379,11,183.0
50.0,4,12.0,0.5714285714285714,5.408141596858597,4,160.0,0.31377813770317226,4,160.0
55.0,1,6.0,0.2608695652173913,9.194606635822158,1,40.0,0.5321807548090256,1,40.0
60.0,1,11.0,0.44,10.501784452170238,1,16.0,0.7126896705284677,1,16.0
65.0,2,19.0,0.7307692307692307,10.523267022370515,2,19.0,0.6715214556565603,2,19.0
70.0,3,33.0,1.434782608695652,10.037173148531998,3,33.0,0.600446380891255,3,33.0
75.0,4,50.0,2.6315789473684212,9.309604502679107,4,50.0,0.5295847556806124,4,50.0
80.0,4,70.0,3.888888888888889,9.115844995427853,4,70.0,0.6050306475875744,4,70.0
85.0,4,90.0,4.7368421052631575,9.40635891555808,4,90.0,0.5973869145054619,4,90.0
90.0,0,0.0,0.0,8.754698520798211,0,39.0,0.5848889190475282,0,39.0
95.0,1,5.0,0.23809523809523808,10.422737387286809,1,5.0,0.7675041194940962,1,5.0
100.0,4,15.0,0.6521739130434783,9.596258517448833,4,15.0,0.5764216835334596,4,15.0
105.0,7,45.0,2.25,6.396354863044673,7,45.0,0.259114370019329,7,45.0
