step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.50218097223604,0,0.0,0.9686072492154227,0,0.0
10.0,0,0.0,0.0,13.252951936056164,0,0.0,0.9497570986143108,0,0.0
15.0,1,2.0,0.16666666666666666,11.343126176385157,1,2.0,0.841619057467962,1,2.0
20.0,2,10.0,0.5555555555555556,9.599280447209873,2,10.0,0.6740448807486247,2,10.0
25.0,6,34.0,1.7894736842105263,6.347078638474283,6,34.0,0.3711007615378766,6,34.0
30.0,10,74.0,3.5238095238095237,5.0953245216644785,10,74.0,0.23347693552764623,10,74.0
35.0,14,137.0,5.708333333333333,4.334588997788642,14,137.0,0.2694180566894785,14,137.0
40.0,17,216.0,7.714285714285714,4.804088102293731,17,216.0,0.2950878133759467,17,216.0
45.0,19,249.0,8.586206896551724,3.014698206796738,19,249.0,0.1653827366110841,19,249.0
50.0,12,110.0,3.235294117647059,5.263861267355288,12,253.0,0.29325705378285805,12,253.0
55.0,7,36.0,0.972972972972973,6.183308111211578,7,192.0,0.28193668125289206,7,192.0
60.0,3,23.0,0.6216216216216216,6.926071911918252,3,128.0,0.32300529682237183,3,128.0
65.0,4,41.0,1.0789473684210527,7.9595008644169765,4,86.0,0.44227358526646615,4,86.0
70.0,6,69.0,1.8157894736842106,9.172250987868619,6,76.0,0.544575973169345,6,76.0
75.0,7,100.0,2.9411764705882355,9.461494126534449,7,100.0,0.5709659225855895,7,100.0
80.0,7,135.0,4.21875,8.760067062271496,7,135.0,0.4600611435388707,7,135.0
85.0,9,177.0,5.9,8.508679849855906,9,177.0,0.39080469710712834,9,177.0
90.0,5,81.0,2.793103448275862,7.738069118790853,5,139.0,0.42945676693888746,5,139.0
95.0,3,7.0,0.30434782608695654,7.166284316620561,3,45.0,0.35312950429778345,3,45.0
100.0,7,36.0,1.3846153846153846,7.92785045385021,7,36.0,0.37040917106302873,7,36.0
105.0,10,84.0,3.111111111111111,7.346264236487146,10,84.0,0.4186379662916413,10,84.0
