step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.909258199083006,0,0.0,0.9178023364874315,0,0.0
10.0,0,0.0,0.0,13.087696957364939,0,0.0,0.9379522285434461,0,0.0
15.0,1,1.0,0.08333333333333333,10.863552128091472,1,1.0,0.7983436319420273,1,1.0
20.0,0,0.0,0.0,9.364575643297732,0,1.0,0.7420782716193821,0,1.0
25.0,1,1.0,0.05,8.821353104567738,1,1.0,0.6429519252531085,1,1.0
30.0,2,8.0,0.3333333333333333,9.758547406223878,2,8.0,0.6030810095306879,2,8.0
35.0,5,28.0,1.0,9.906560389226252,5,28.0,0.6426452982781253,5,28.0
40.0,2,9.0,0.3333333333333333,9.684175955246053,2,24.0,0.6776617846832139,2,24.0
45.0,3,6.0,0.24,7.922097612087184,3,8.0,0.46976507696081277,3,8.0
50.0,4,26.0,1.04,9.7105959673377,4,26.0,0.561262278414646,4,26.0
55.0,6,51.0,1.9615384615384615,8.672058202925287,6,51.0,0.47757419809619545,6,51.0
60.0,9,89.0,3.56,6.79354478260415,9,89.0,0.31013266679863793,9,89.0
65.0,12,143.0,6.217391304347826,5.12797077643546,12,143.0,0.2778070908579611,12,143.0
70.0,14,210.0,8.75,4.82075862064353,14,210.0,0.3343530981946909,14,210.0
75.0,16,287.0,11.038461538461538,3.6950569331467085,16,287.0,0.2013908945928308,16,287.0
80.0,20,381.0,13.137931034482758,3.0980083942332652,20,381.0,0.16789170528270608,20,381.0
85.0,23,490.0,15.3125,2.94558429150883,23,490.0,0.16131016112475946,23,490.0
90.0,26,616.0,17.11111111111111,3.080004388342246,26,616.0,0.15974626789649965,26,616.0
95.0,29,753.0,20.35135135135135,2.116466115830913,29,753.0,0.08084167536339398,29,753.0
100.0,32,907.0,23.86842105263158,1.7093877854178878,32,907.0,0.07436121780348035,32,907.0
105.0,34,1074.0,27.53846153846154,1.7346019717667758,34,1074.0,0.07716599569795286,34,1074.0
