step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.711587777437478,0,0.0,0.9704380416326941,0,0.0
10.0,0,0.0,0.0,13.055098068580946,0,0.0,0.9511930176767195,0,0.0
15.0,1,1.0,0.08333333333333333,9.773967365257985,1,1.0,0.6773057324389264,1,1.0
20.0,5,20.0,1.1764705882352942,6.901380977787953,5,20.0,0.49088188431953284,5,20.0
25.0,6,21.0,1.2352941176470589,5.922334937375432,6,36.0,0.41894476150966986,6,36.0
30.0,1,6.0,0.3,8.833674274381888,1,18.0,0.5366499830651176,1,18.0
35.0,3,14.0,0.6363636363636364,10.516605509947878,3,14.0,0.6451116253900911,3,14.0
40.0,3,29.0,1.16,10.22864815924161,3,29.0,0.6474412287902017,3,29.0
45.0,3,7.0,0.2916666666666667,9.068290971785443,3,19.0,0.6155120399204683,3,19.0
50.0,4,13.0,0.5,8.76231501475427,4,13.0,0.6133557284670527,4,13.0
55.0,7,42.0,1.5,7.174692926111248,7,42.0,0.4121217538713388,7,42.0
60.0,9,41.0,1.4137931034482758,5.6558984089107165,9,62.0,0.30293583842338945,9,62.0
65.0,3,10.0,0.3448275862068966,6.4372686899205975,3,52.0,0.4066864298928634,3,52.0
70.0,4,26.0,0.8666666666666667,7.960839235194417,4,46.0,0.3947856592547615,4,46.0
75.0,6,11.0,0.3333333333333333,6.837524756017453,6,47.0,0.37503211347528165,6,47.0
80.0,7,30.0,0.967741935483871,6.234640543896776,7,52.0,0.3205174125663119,7,52.0
85.0,14,86.0,2.6875,5.991445531449533,14,106.0,0.30798920883888914,14,106.0
90.0,17,167.0,4.771428571428571,5.908435911018716,17,187.0,0.3037976577562047,17,187.0
95.0,20,257.0,7.5588235294117645,4.373822077348614,20,277.0,0.25574684597274583,20,277.0
100.0,24,368.0,9.68421052631579,4.03977063225098,24,388.0,0.20046558532826964,24,388.0
105.0,23,372.0,10.333333333333334,2.01438062786932,23,441.0,0.06102341078740596,23,441.0
