step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.119882339750305,0,0.0,0.9588428500506441,0,0.0
10.0,0,0.0,0.0,12.604705929858008,0,0.0,0.8768166529582037,0,0.0
15.0,1,1.0,0.1111111111111111,8.856520301820389,1,1.0,0.6214624880368875,1,1.0
20.0,5,16.0,1.0666666666666667,8.00610419763759,5,16.0,0.5891447448538932,5,16.0
25.0,7,46.0,2.5555555555555554,6.451356025818173,7,46.0,0.4598296517156464,7,46.0
30.0,10,92.0,4.181818181818182,5.65941511581167,10,92.0,0.33040804986949424,10,92.0
35.0,14,154.0,5.923076923076923,4.777729581482296,14,154.0,0.23267285615311817,14,154.0
40.0,14,144.0,5.538461538461538,3.696452195076447,14,187.0,0.19777869614066984,14,187.0
45.0,9,48.0,1.7142857142857142,4.705918511345328,9,158.0,0.1901003017864648,9,158.0
50.0,3,16.0,0.5,7.96628556708404,3,120.0,0.4180961654027651,3,120.0
55.0,3,27.0,0.84375,8.961321858853264,3,67.0,0.46309285315826637,3,67.0
60.0,4,44.0,1.4666666666666666,9.230866739979733,4,55.0,0.5542189314135793,4,55.0
65.0,5,68.0,2.125,9.828765674541714,5,68.0,0.6311346187975486,5,68.0
70.0,3,12.0,0.41379310344827586,7.522912760387833,3,40.0,0.4527706010846765,3,40.0
75.0,9,34.0,1.2592592592592593,7.027158025035698,9,34.0,0.3656693105834589,9,34.0
80.0,13,89.0,3.2962962962962963,5.946494108217025,13,89.0,0.2259762322000324,13,89.0
85.0,17,164.0,5.655172413793103,5.0106922763286885,17,164.0,0.28049422760480136,17,164.0
90.0,19,254.0,7.9375,4.723003714257448,19,254.0,0.2786379904342784,19,254.0
95.0,23,360.0,10.0,3.8045908358243974,23,360.0,0.206580820236245,23,360.0
100.0,27,486.0,12.789473684210526,2.958610656049729,27,486.0,0.12104389660492118,27,486.0
105.0,31,630.0,16.57894736842105,1.6433601445914057,31,631.0,0.02369528729595393,31,631.0
