step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.979891278094705,0,0.0,0.9577492683899235,0,0.0
10.0,0,0.0,0.0,12.822700846216572,0,0.0,0.9122901551410757,0,0.0
15.0,1,2.0,0.2,10.403012354334276,1,2.0,0.7850082569857804,1,2.0
20.0,0,0.0,0.0,7.910455226767335,0,1.0,0.6718964508936839,0,1.0
25.0,2,10.0,0.6666666666666666,9.413925641372058,2,10.0,0.6685181773568429,2,10.0
30.0,2,20.0,1.3333333333333333,10.263433851658737,2,20.0,0.5376673890197352,2,20.0
35.0,2,4.0,0.26666666666666666,8.537417175809745,2,4.0,0.49162140017254563,2,4.0
40.0,2,14.0,0.9333333333333333,10.249730383520198,2,14.0,0.7145169262367665,2,14.0
45.0,2,24.0,1.5,10.177453571609576,2,24.0,0.6820812988942727,2,24.0
50.0,0,0.0,0.0,8.234613245314778,0,3.0,0.5777263767197283,0,3.0
55.0,0,0.0,0.0,8.749235766470472,0,0.0,0.44016280180652384,0,0.0
60.0,1,5.0,0.3125,11.49506244428131,1,5.0,0.7524898939428496,1,5.0
65.0,0,0.0,0.0,11.44592607934587,0,0.0,0.9553112980814596,0,0.0
70.0,0,0.0,0.0,12.59156667968895,0,0.0,0.9080777950955525,0,0.0
75.0,2,3.0,0.17647058823529413,11.551425038833504,2,3.0,0.7414053765262923,2,3.0
80.0,0,0.0,0.0,7.598750737729577,0,4.0,0.47880782234900937,0,4.0
85.0,1,1.0,0.05555555555555555,8.919635648996314,1,1.0,0.6050739228637384,1,1.0
90.0,2,10.0,0.5,11.04611554623143,2,10.0,0.7281047459907214,2,10.0
95.0,0,0.0,0.0,9.409800500515896,0,0.0,0.6028495283342354,0,0.0
100.0,6,19.0,0.8636363636363636,9.537838464825235,6,19.0,0.5725378089532903,6,19.0
105.0,7,51.0,2.04,7.9841883708086705,7,51.0,0.4464589012976776,7,51.0
