step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.702754918715877,0,0.0,0.9348060393981747,0,0.0
10.0,0,0.0,0.0,11.672231159701425,0,0.0,0.8942620339956201,0,0.0
15.0,0,0.0,0.0,10.270451121061411,0,0.0,0.7183060865016436,0,0.0
20.0,0,0.0,0.0,6.920690615644375,0,0.0,0.519689534760695,0,0.0
25.0,1,4.0,0.2857142857142857,9.428511200711837,1,4.0,0.6245113271660894,1,4.0
30.0,2,11.0,0.6111111111111112,10.263386281788298,2,11.0,0.7020363148974154,2,11.0
35.0,1,1.0,0.05,9.164700862346226,1,1.0,0.6619079709621709,1,1.0
40.0,2,11.0,0.6111111111111112,9.389131366386373,2,11.0,0.5843300036278779,2,11.0
45.0,7,35.0,1.8421052631578947,6.555521297471948,7,35.0,0.4207283592957756,7,35.0
50.0,11,83.0,4.15,4.660904038850762,11,83.0,0.2991183451436609,11,83.0
55.0,15,148.0,6.434782608695652,4.034583431990451,15,148.0,0.2102046531650565,15,148.0
60.0,13,140.0,6.363636363636363,2.495918656833206,13,177.0,0.11827989434150442,13,177.0
65.0,5,38.0,1.3103448275862069,6.93989017521513,5,151.0,0.4246735700232561,5,151.0
70.0,3,18.0,0.5806451612903226,8.248992794708569,3,88.0,0.48484252562098185,3,88.0
75.0,1,1.0,0.029411764705882353,8.445634064178288,1,67.0,0.5752773724945844,1,67.0
80.0,6,20.0,0.5882352941176471,7.3375110702625195,6,78.0,0.3876139623468888,6,78.0
85.0,12,68.0,2.125,4.982794446337563,12,126.0,0.1896513150199777,12,126.0
90.0,19,150.0,4.545454545454546,3.922333774163924,19,208.0,0.19691400643563695,19,208.0
95.0,24,261.0,7.909090909090909,2.4065206581040846,24,319.0,0.10945092579416137,24,319.0
100.0,28,397.0,11.342857142857143,2.6094566972260194,28,455.0,0.14427851170976688,28,455.0
105.0,30,540.0,14.594594594594595,2.1141859729181407,30,598.0,0.13904066134481677,30,598.0
