step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.25678494110911,0,0.0,0.9621480959516694,0,0.0
10.0,0,0.0,0.0,12.207961698278785,0,0.0,0.9158155789088437,0,0.0
15.0,1,2.0,0.14285714285714285,9.503676033644197,1,2.0,0.693204521867578,1,2.0
20.0,4,21.0,1.2352941176470589,7.87961170218065,4,21.0,0.5340318465587249,4,21.0
25.0,7,51.0,2.55,6.4377598107771465,7,51.0,0.3419745530017558,7,51.0
30.0,9,41.0,2.1578947368421053,3.738315022775305,9,68.0,0.17565999229980447,9,68.0
35.0,1,6.0,0.2857142857142857,6.748001145026802,1,45.0,0.34746746790424093,1,45.0
40.0,2,14.0,0.6363636363636364,10.336637650086017,2,27.0,0.6034817852585481,2,27.0
45.0,0,0.0,0.0,8.247722701149465,0,9.0,0.45896761756566806,0,9.0
50.0,6,21.0,1.105263157894737,7.287727583099371,6,30.0,0.3188331623807079,6,30.0
55.0,9,61.0,3.05,6.386982251130624,9,70.0,0.3677502291176736,9,70.0
60.0,11,114.0,6.0,4.1701442398609325,11,123.0,0.2737289307680301,11,123.0
65.0,10,101.0,4.590909090909091,4.319646893989785,10,138.0,0.2808077104180334,10,138.0
70.0,4,18.0,0.72,6.324387051434634,4,97.0,0.3676233534343643,4,97.0
75.0,3,18.0,0.6666666666666666,8.466970003903425,3,55.0,0.41670202749079144,3,55.0
80.0,3,5.0,0.1724137931034483,7.314292501712298,3,47.0,0.4053452046275058,3,47.0
85.0,8,36.0,1.2857142857142858,5.92107468063193,8,73.0,0.2555425448725394,8,73.0
90.0,14,92.0,3.1724137931034484,4.82465524459386,14,129.0,0.22277338698266033,14,129.0
95.0,19,177.0,5.709677419354839,4.697383730200988,19,214.0,0.27356653524332597,19,214.0
100.0,21,277.0,8.65625,3.787112458525929,21,314.0,0.1959765960922943,21,314.0
105.0,25,392.0,11.529411764705882,2.8619070724316527,25,429.0,0.07513647129947064,25,429.0
